-1.81;3.44;0.00;-0.28;-0.55;9.44;101372.60;96.49;454469358;-736939677;0:2:13
-1.81;3.44;0.00;-0.30;-0.57;9.47;101374.75;96.31;454469420;-736939799;0:2:14
-1.75;4.44;4.12;-0.49;-0.05;9.50;101376.23;96.18;454468995;-736939706;0:2:15
-6.31;11.50;3.62;-1.84;-3.08;9.27;101377.55;96.07;454469130;-736939638;0:2:16
-4.69;4.38;5.00;-0.56;-0.75;10.98;101378.22;96.02;454469229;-736939617;0:2:17
-11.19;14.12;2.94;-1.55;-1.77;9.46;101379.86;95.88;454469415;-736939669;0:2:18
-11.31;12.88;355.88;-1.76;-2.42;9.37;101380.52;95.83;454469395;-736939729;0:2:19
-11.38;12.88;354.25;-1.82;-2.23;9.63;101380.69;95.81;454469385;-736939629;0:2:20
13.56;-4.50;351.62;2.25;0.71;8.93;101381.58;95.74;454469387;-736939648;0:2:21
6.44;7.31;355.31;1.15;-0.99;8.92;101381.41;95.75;454469386;-736939667;0:2:22
32.94;-15.75;359.25;4.34;1.62;7.50;101381.84;95.72;454469363;-736939691;0:2:23
-5.44;16.69;336.50;0.79;-1.32;8.96;101381.19;95.77;454469344;-736939719;0:2:24
0.81;4.44;220.25;-0.65;-2.24;10.42;101380.96;95.79;454469321;-736939725;0:2:25
0.00;3.25;234.69;-0.97;-0.79;8.57;101380.62;95.82;454469255;-736939802;0:2:26
-3.31;13.81;256.50;-0.09;-3.17;10.07;101380.03;95.87;454469246;-736939776;0:2:27
12.06;6.25;251.50;1.29;-2.77;11.45;101380.36;95.84;454469217;-736939754;0:2:28
-20.50;7.44;256.00;-2.14;-1.09;10.29;101380.70;95.81;454469169;-736939851;0:2:29
29.38;-8.88;255.81;5.77;1.21;7.29;101381.19;95.77;454469165;-736939837;0:2:30
2.06;-3.06;269.12;0.65;-0.33;9.20;101381.52;95.75;454469103;-736939800;0:2:31
10.44;-0.12;323.69;0.49;0.62;9.98;101382.34;95.68;454469059;-736939791;0:2:32
7.44;3.88;308.25;1.52;0.59;9.65;101382.58;95.66;454469056;-736939808;0:2:33
2.81;1.69;271.75;-1.04;-0.72;9.09;101382.84;95.64;454469025;-736939776;0:2:34
-6.00;5.31;327.75;-1.20;-0.39;9.74;101383.98;95.54;454469033;-736939785;0:2:35
9.62;3.12;325.19;0.72;0.46;7.97;101385.48;95.42;454468962;-736939798;0:2:36
0.19;7.88;201.50;0.47;-3.12;10.47;101385.20;95.44;454468957;-736939821;0:2:37
8.81;9.56;145.62;1.12;-2.45;9.45;101384.78;95.47;454468937;-736939821;0:2:38
9.88;5.44;163.88;-0.08;-3.48;8.67;101384.78;95.47;454468933;-736939824;0:2:39
8.94;18.62;264.19;-2.29;-3.45;10.48;101384.45;95.50;454468920;-736939771;0:2:40
14.50;16.62;7.88;2.44;-2.54;9.51;101383.52;95.58;454468929;-736939771;0:2:41
12.38;11.75;31.12;2.76;-1.84;9.29;101383.36;95.59;454468921;-736939723;0:2:42
12.50;11.19;25.75;1.18;-0.52;9.02;101382.92;95.63;454468960;-736939694;0:2:43
-3.62;8.50;350.19;-0.10;-1.98;9.32;101382.76;95.64;454468980;-736939720;0:2:44
2.38;5.56;344.31;-0.02;-0.02;9.31;101382.98;95.62;454469032;-736939739;0:2:45
14.00;8.69;294.06;1.81;-2.93;10.23;101382.66;95.65;454469040;-736939750;0:2:46
10.25;6.31;260.38;1.30;-0.95;9.68;101381.56;95.74;454469042;-736939742;0:2:47
-1.75;28.94;265.94;0.00;-5.15;9.62;101380.64;95.82;454469061;-736939740;0:2:48
23.38;-25.06;271.75;2.62;2.51;8.29;101379.91;95.88;454469084;-736939732;0:2:49
4.38;28.12;292.31;1.22;-2.17;8.89;101379.75;95.89;454469086;-736939731;0:2:50
-4.69;-10.69;274.81;-0.52;0.09;9.26;101378.98;95.96;454469082;-736939708;0:2:51
17.38;10.94;309.81;0.64;-0.45;7.71;101378.72;95.98;454469127;-736939689;0:2:52
12.06;3.75;311.50;1.84;-1.87;10.65;101378.29;96.01;454469145;-736939663;0:2:53
-18.06;18.75;340.56;-3.09;-2.61;10.83;101378.19;96.02;454469157;-736939627;0:2:54
37.12;-27.25;334.94;4.57;2.70;6.25;101379.60;95.90;454469163;-736939601;0:2:55
-0.56;9.94;352.06;-0.96;-0.81;10.27;101379.83;95.89;454469151;-736939632;0:2:56
4.69;7.62;325.94;1.00;-1.80;10.48;101380.88;95.80;454469148;-736939658;0:2:57
7.12;-2.88;317.31;1.16;1.01;7.16;101380.78;95.81;454469153;-736939693;0:2:58
21.12;-10.25;318.00;1.51;-0.08;7.18;101381.05;95.78;454469150;-736939691;0:2:59
14.75;-3.94;327.88;-0.17;-0.64;8.07;101380.78;95.81;454469119;-736939715;0:3:0
11.62;-8.31;310.00;0.39;-2.36;8.95;101381.27;95.77;454469096;-736939690;0:3:1
14.44;-4.50;316.38;1.79;0.04;9.52;101381.01;95.79;454469090;-736939641;0:3:2
12.88;2.19;340.50;-0.17;-0.35;8.15;101380.84;95.80;454469093;-736939579;0:3:3
0.19;12.94;359.00;-3.11;0.70;12.02;101381.83;95.72;454469124;-736939619;0:3:4
17.12;1.31;271.56;2.26;-4.89;8.44;101381.56;95.74;454469159;-736939670;0:3:5
4.56;35.94;12.19;-0.10;-4.27;10.52;101381.66;95.73;454469179;-736939642;0:3:6
35.50;-17.31;336.25;6.42;1.44;8.11;101381.39;95.76;454469174;-736939621;0:3:7
0.94;3.56;320.25;-0.02;-1.52;11.16;101381.73;95.73;454469135;-736939568;0:3:8
14.19;11.50;346.62;3.00;-0.52;11.37;101382.39;95.67;454469159;-736939528;0:3:9
16.19;-10.75;329.06;3.44;1.12;6.48;101381.62;95.74;454469140;-736939495;0:3:10
35.38;15.62;337.00;4.15;-1.77;8.00;101381.95;95.71;454469145;-736939468;0:3:11
24.81;-34.00;311.44;4.09;2.36;6.42;101382.02;95.70;454469123;-736939430;0:3:12
19.69;12.56;338.75;2.91;-1.37;10.41;101381.86;95.72;454469115;-736939414;0:3:13
15.19;4.06;319.81;3.01;-1.81;8.61;101381.52;95.74;454469090;-736939375;0:3:14
-14.81;8.81;301.69;-2.58;-1.20;8.99;101381.29;95.76;454469076;-736939370;0:3:15
-6.00;15.06;299.94;-0.07;-3.07;10.92;101381.62;95.74;454469072;-736939371;0:3:16
-2.50;1.94;301.12;-0.05;-0.41;9.66;101381.52;95.75;454469076;-736939380;0:3:17
-2.19;1.56;303.00;-0.33;-0.48;9.71;101381.52;95.75;454469078;-736939375;0:3:18
-2.69;4.00;289.75;0.39;-0.54;9.90;101381.52;95.75;454469099;-736939384;0:3:19
-2.50;3.94;287.62;-0.36;-0.79;9.68;101381.36;95.76;454469110;-736939410;0:3:20
