s0000.19;-018.19;0170.50;000.02;002.96;009.09;027.70;098936.50;00300.76;455033455;-735868022;20:47:10e
s0000.19;-018.19;0170.50;000.00;002.97;009.12;027.70;098935.48;00300.85;455033458;-735868022;20:47:12e
s0000.19;-018.19;0170.50;000.01;002.96;009.10;027.70;098935.73;00300.83;455033452;-735868006;20:47:16e
s0000.19;-018.19;0170.50;000.01;002.96;009.10;027.70;098936.16;00300.79;455033452;-735867999;20:47:18e
s0000.19;-018.19;0170.50;000.00;002.98;009.10;027.69;098937.71;00300.66;455033449;-735867994;20:47:22e
s0000.19;-018.19;0170.50;000.01;002.97;009.11;027.69;098938.03;00300.63;455033448;-735867999;20:47:24e
s0000.19;-018.19;0170.50;000.00;002.97;009.11;027.69;098937.80;00300.65;455033447;-735868008;20:47:26e
s0000.19;-018.19;0170.50;000.00;002.96;009.09;027.69;098937.60;00300.67;455033445;-735868021;20:47:28e
s0000.19;-018.19;0170.50;000.01;002.94;009.11;027.69;098938.09;00300.63;455033444;-735868032;20:47:30e
s0000.19;-018.19;0170.50;000.00;002.98;009.11;027.68;098938.43;00300.60;455033438;-735868043;20:47:34e
s0000.19;-018.19;0170.50;000.00;002.97;009.10;027.68;098938.69;00300.58;455033434;-735868046;20:47:36e
s0000.19;-018.19;0170.50;000.00;002.95;009.09;027.67;098939.48;00300.51;455033423;-735868045;20:47:40e
s0000.19;-018.19;0170.50;000.00;002.96;009.11;027.67;098939.73;00300.49;455033422;-735868040;20:47:42e
s0000.19;-018.19;0170.50;000.01;002.97;009.14;027.67;098939.66;00300.49;455033423;-735868034;20:47:44e
s0000.19;-018.19;0170.50;000.00;002.98;009.09;027.67;098939.78;00300.48;455033425;-735868034;20:47:46e
s0000.19;-018.19;0170.50;000.01;002.97;009.13;027.66;098938.60;00300.59;455033435;-735868049;20:47:50e
s0000.19;-018.19;0170.50;000.00;002.98;009.11;027.65;098939.14;00300.54;455033445;-735868054;20:47:54e
s0000.19;-018.19;0170.50;000.00;002.95;009.10;027.65;098937.95;00300.64;455033456;-735868054;20:47:58e
s0000.19;-018.19;0170.50;000.02;002.99;009.08;027.64;098938.05;00300.63;455033460;-735868052;20:48:00e
s0000.19;-018.19;0170.50;000.00;002.98;009.09;027.64;098937.84;00300.65;455033461;-735868055;20:48:02e
s0000.19;-018.19;0170.50;000.01;002.96;009.14;027.64;098937.61;00300.67;455033460;-735868054;20:48:04e
s0000.19;-018.19;0170.50;000.01;002.96;009.12;027.64;098937.94;00300.64;455033458;-735868042;20:48:06e
s0000.19;-018.19;0170.50;000.01;002.98;009.09;027.63;098937.63;00300.67;455033455;-735868040;20:48:08e
s0000.19;-018.19;0170.50;000.02;002.97;009.13;027.63;098937.96;00300.64;455033460;-735868039;20:48:10e
s0000.19;-018.19;0170.50;000.00;002.98;009.11;027.63;098937.92;00300.64;455033464;-735868038;20:48:12e
s0000.19;-018.19;0170.50;000.01;002.96;009.12;027.63;098938.56;00300.59;455033462;-735868036;20:48:14e
s0000.19;-018.19;0170.50;000.00;002.98;009.10;027.63;098938.50;00300.59;455033460;-735868033;20:48:16e
s0000.19;-018.19;0170.50;000.00;002.98;009.11;027.63;098938.75;00300.57;455033458;-735868029;20:48:18e
s0000.19;-018.19;0170.50;000.01;002.99;009.12;027.62;098939.17;00300.54;455033461;-735868033;20:48:20e
s0000.19;-018.19;0170.50;000.00;002.97;009.09;027.62;098939.17;00300.54;455033462;-735868039;20:48:22e
s0000.19;-018.19;0170.50;000.01;002.97;009.11;027.62;098939.10;00300.54;455033464;-735868046;20:48:24e
s0000.19;-018.19;0170.50;000.01;002.98;009.11;027.62;098938.73;00300.57;455033464;-735868049;20:48:26e
s0000.19;-018.19;0170.50;000.00;002.98;009.11;027.62;098938.58;00300.59;455033462;-735868055;20:48:28e
