s-047.38;-089.44;0147.75;-07.25;006.44;000.05;033.62;100390.70;00178.34;455052699;-735796317;02:31:45e
s-047.38;-089.44;0147.75;-07.26;006.44;000.07;033.65;100390.59;00178.35;455052696;-735796314;02:31:47e
s-047.38;-089.44;0147.75;-07.25;006.44;000.02;033.67;100389.40;00178.45;455052692;-735796313;02:31:49e
s-047.38;-089.44;0147.75;-07.26;006.46;000.06;033.70;100388.56;00178.52;455052688;-735796311;02:31:51e
s-047.44;-089.44;0147.81;-07.29;006.44;000.07;033.73;100388.03;00178.56;455052684;-735796308;02:31:53e
s-047.81;-089.44;0148.19;-07.30;006.42;000.06;033.75;100387.78;00178.58;455052678;-735796303;02:31:55e
s-047.62;-089.44;0148.00;-07.28;006.41;000.04;033.77;100387.17;00178.63;455052667;-735796300;02:31:57e
s-047.62;-089.44;0148.00;-07.28;006.42;000.02;033.79;100386.92;00178.66;455052658;-735796293;02:31:59e
s-047.62;-089.44;0148.00;-07.28;006.42;000.06;033.82;100386.58;00178.68;455052644;-735796286;02:32:01e
s-047.62;-089.44;0148.00;-07.27;006.42;000.08;033.85;100386.05;00178.73;455052630;-735796269;02:32:03e
s-047.56;-089.44;0147.94;-07.29;006.43;000.06;033.87;100385.40;00178.78;455052618;-735796255;02:32:05e
s-047.62;-089.44;0147.94;-07.28;006.42;000.05;033.89;100385.31;00178.79;455052610;-735796241;02:32:07e
s-047.69;-089.44;0148.06;-07.29;006.41;000.03;033.91;100384.73;00178.84;455052600;-735796219;02:32:09e
s-047.69;-089.44;0148.06;-07.29;006.41;000.06;033.94;100385.05;00178.81;455052592;-735796203;02:32:11e
s-040.56;-083.19;0137.38;-08.11;007.73;000.56;033.96;100385.03;00178.81;455052568;-735796232;02:32:13e
s-033.50;-089.44;0131.94;-05.58;007.91;-00.05;033.98;100382.58;00179.02;455052563;-735796222;02:32:15e
s-035.19;-089.94;0133.56;-05.90;007.89;-00.05;033.99;100381.25;00179.13;455052561;-735796225;02:32:17e
s-034.31;-090.06;0132.69;-05.74;007.92;-00.03;034.00;100380.52;00179.19;455052563;-735796217;02:32:19e
s-032.94;-090.12;0131.31;-05.37;008.12;-00.06;034.02;100379.81;00179.25;455052563;-735796211;02:32:21e
s-034.12;-090.19;0132.50;-05.53;008.01;-00.04;034.02;100379.01;00179.32;455052564;-735796206;02:32:23e
s-049.31;-057.50;0154.50;-06.71;005.03;003.43;034.03;100378.66;00179.35;455052580;-735796179;02:32:25e
s-027.62;-060.50;0135.12;-04.56;007.79;004.27;034.03;100374.34;00179.71;455052591;-735796153;02:32:27e
s-024.81;-061.44;0131.50;-03.67;008.13;004.23;034.03;100370.80;00180.00;455052588;-735796154;02:32:29e
s-043.88;-053.50;0153.94;-07.26;005.40;004.33;034.04;100370.54;00180.03;455052597;-735796159;02:32:31e
s-038.69;-057.44;0148.31;-06.15;006.63;004.15;034.04;100370.48;00180.03;455052586;-735796150;02:32:33e
s-039.12;-056.38;0149.12;-05.82;006.75;004.26;034.04;100370.22;00180.05;455052585;-735796149;02:32:35e
s-060.44;0024.56;0210.94;-08.55;-01.72;004.44;034.05;100375.48;00179.61;455052597;-735796139;02:32:37e
s-033.00;-064.69;0144.31;-05.62;008.40;003.26;034.06;100380.73;00179.17;455052616;-735796158;02:32:39e
s-033.19;-064.75;0140.94;-05.59;006.84;003.38;034.08;100379.08;00179.31;455052606;-735796167;02:32:41e
s0001.88;0076.12;0293.81;000.07;-10.04;002.15;034.09;100382.75;00179.00;455052620;-735796135;02:32:43e
s0004.31;0090.94;0298.62;000.75;-09.36;-00.25;034.11;100382.00;00179.07;455052618;-735796123;02:32:45e
s0006.56;0067.75;0301.31;-00.61;-04.19;002.67;034.12;100383.88;00178.91;455052628;-735796094;02:32:47e
s-019.31;0085.62;0271.12;-03.03;-11.04;000.56;034.13;100387.58;00178.60;455052657;-735796090;02:32:49e
s-014.00;0091.25;0276.38;-02.45;-09.40;-00.18;034.14;100388.95;00178.48;455052661;-735796095;02:32:51e
s-014.00;0091.25;0276.38;-02.46;-09.39;-00.17;034.16;100390.77;00178.33;455052662;-735796074;02:32:53e
s-014.00;0091.25;0276.38;-02.47;-09.39;-00.18;034.19;100391.56;00178.27;455052662;-735796061;02:32:55e
